crate/cratesio/-/foldhash/0.1.5, Zlib, approved, clearlydefined
crate/cratesio/-/foldhash/0.2.0, Zlib, approved, clearlydefined
crate/cratesio/-/foreign-types-shared/0.1.1, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/foreign-types/0.3.2, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/form_urlencoded/1.2.2, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/futures-channel/0.3.34, (Apache-2.0 or MIT) AND BSD-2-Clause-Views, approved, #6671
crate/cratesio/-/futures-core/0.3.34, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17218
crate/cratesio/-/futures-executor/0.3.34, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17220
crate/cratesio/-/futures-intrusive/0.5.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/futures-io/0.3.34, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17223
crate/cratesio/-/futures-macro/0.3.34, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #26157
crate/cratesio/-/futures-sink/0.3.34, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17222
crate/cratesio/-/futures-task/0.3.34, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17217
crate/cratesio/-/futures-util/0.3.34, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17219
crate/cratesio/-/futures/0.3.34, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17221
crate/cratesio/-/generic-array/0.14.7, MIT, approved, clearlydefined
crate/cratesio/-/getrandom/0.2.17, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #25580
crate/cratesio/-/getrandom/0.3.4, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #25579
crate/cratesio/-/getrandom/0.4.3, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #26536
crate/cratesio/-/group/0.13.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/h2/0.3.27, MIT, approved, #22729
crate/cratesio/-/h2/0.4.19, MIT, approved, #29113
crate/cratesio/-/hashbrown/0.12.3, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/hashbrown/0.14.5, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/hashbrown/0.15.5, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17428
crate/cratesio/-/hashbrown/0.16.1, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #23538
crate/cratesio/-/hashbrown/0.17.1, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #27191
crate/cratesio/-/hashlink/0.10.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/hashlink/0.11.1, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/heck/0.5.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/hex/0.4.3, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/hkdf/0.12.4, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/hmac/0.12.1, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/hmac/0.13.0, Apache-2.0 AND MIT, approved, #31108
crate/cratesio/-/home/0.5.12, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/http-body-util/0.1.5, MIT, approved, #30205
crate/cratesio/-/http-body/0.4.6, MIT, approved, clearlydefined
crate/cratesio/-/http-body/1.1.0, MIT, approved, #30212
crate/cratesio/-/http/0.2.12, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17176
crate/cratesio/-/http/1.5.0, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #30090
crate/cratesio/-/httparse/1.10.1, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #19932
crate/cratesio/-/httpdate/1.0.3, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/hybrid-array/0.4.15, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #29131
crate/cratesio/-/hyper-rustls/0.24.2, Apache-2.0 OR ISC OR MIT, approved, clearlydefined
crate/cratesio/-/hyper-rustls/0.27.9, Apache-2.0 OR ISC OR MIT, approved, clearlydefined
crate/cratesio/-/hyper-timeout/0.5.2, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/hyper-tls/0.6.0, Apache-2.0 AND MIT, approved, #31112
crate/cratesio/-/hyper-util/0.1.20, MIT, approved, clearlydefined
crate/cratesio/-/hyper/0.14.32, MIT, approved, #15105
crate/cratesio/-/hyper/1.11.1, MIT, approved, #30209
crate/cratesio/-/hyperlocal/0.9.1, MIT, approved, clearlydefined
crate/cratesio/-/iana-time-zone/0.1.65, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #23542
crate/cratesio/-/icu_collections/2.3.0, Unicode-3.0, approved, #30220
crate/cratesio/-/icu_locale_core/2.3.0, Unicode-3.0, approved, #30223
crate/cratesio/-/icu_normalizer/2.3.0, Unicode-3.0 AND Unicode-TOU, approved, #30222
crate/cratesio/-/icu_normalizer_data/2.3.0, Unicode-3.0, approved, #30218
crate/cratesio/-/icu_properties/2.3.0, Unicode-3.0, approved, #30221
crate/cratesio/-/icu_properties_data/2.3.0, Unicode-3.0, approved, #30226
crate/cratesio/-/icu_provider/2.3.1, Apache-2.0 OR MIT, approved, #30227
crate/cratesio/-/ident_case/1.0.1, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/idna/1.1.0, Apache-2.0 AND MIT AND Unicode-TOU, approved, #23543
crate/cratesio/-/idna_adapter/1.2.2, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/indexmap/1.9.3, Apache-2.0 OR MIT, approved, clearlydefined
crate/cratesio/-/indexmap/2.14.2, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #27193
crate/cratesio/-/inotify-sys/0.1.8, ISC, approved, #31139
crate/cratesio/-/inotify/0.11.5, , restricted, clearlydefined
crate/cratesio/-/inout/0.1.4, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/ipnet/2.12.2, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #28542
crate/cratesio/-/is_terminal_polyfill/1.70.2, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/itertools/0.14.0, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #25686
crate/cratesio/-/itoa/1.0.18, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #17174
crate/cratesio/-/json5/0.4.1, ISC, approved, #17819
crate/cratesio/-/jsonwebtoken/11.1.0, , restricted, clearlydefined
crate/cratesio/-/lazy_static/1.5.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/libc/0.2.189, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #16809
crate/cratesio/-/libm/0.2.16, (Apache-2.0 OR MIT) AND LicenseRef-Permission-Notice AND BSD-2-Clause, approved, #14603
crate/cratesio/-/libsodium-sys/0.2.7, , restricted, #31168
crate/cratesio/-/libz-ng-sys/1.1.29, Apache-2.0 AND MIT AND Zlib, approved, #31091
crate/cratesio/-/linux-raw-sys/0.12.1, Apache-2.0 AND Apache-2.0 WITH LLVM-exception AND MIT, approved, #27070
crate/cratesio/-/litemap/0.8.3, Unicode-3.0, approved, #22551
crate/cratesio/-/lock_api/0.4.14, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/log/0.4.34, Apache-2.0 AND MIT AND Apache-2.0 AND MIT, approved, #18691
crate/cratesio/-/lru/0.18.4, , restricted, clearlydefined
crate/cratesio/-/matchers/0.2.0, MIT, approved, clearlydefined
crate/cratesio/-/matchit/0.8.4, MIT AND BSD-3-Clause, approved, clearlydefined
crate/cratesio/-/md-5/0.10.6, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/md-5/0.11.0, MIT OR Apache-2.0, approved, clearlydefined
crate/cratesio/-/memchr/2.8.3, Unlicense AND (MIT AND Unlicense) AND MIT, approved, #26141
crate/cratesio/-/memoffset/0.9.1, MIT, approved, clearlydefined
crate/cratesio/-/mime/0.3.17, Apache-2.0 AND MIT, approved, #17178
